pump site A;pump site B;pump site C;pump site D
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;21.213;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;33.8514;21.213
21.213;21.213;35.8426;21.213
21.213;21.213;35.8426;21.213
21.213;21.213;35.8426;21.213
21.213;21.213;35.8426;21.213
21.213;21.213;35.8426;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.5794;21.213
21.213;21.213;36.8383;21.213
21.213;21.213;38.8529;21.213
21.213;21.213;40.0733;21.213
21.213;21.213;40.107;21.213
21.213;21.213;41.0091;21.213
21.213;21.213;41.0091;21.213
21.213;21.213;43.4923;21.213
21.213;21.213;45.9935;21.213
21.213;21.213;46.297;21.213
21.213;21.213;47.4724;21.213
21.213;21.213;47.4724;21.213
21.213;21.213;47.4724;21.213
21.213;21.213;47.4724;21.213
21.213;21.213;48.623;21.213
21.213;21.213;48.6292;21.213
21.213;21.213;49.0038;21.213
21.213;21.213;49.0204;21.213
21.213;21.213;49.6862;21.213
21.213;21.213;49.6862;21.213
21.213;21.213;50.3669;21.213
21.213;21.213;50.7771;21.213
21.213;21.213;50.7771;21.213
21.213;21.213;51.41;21.213
21.213;21.213;51.4858;21.213
21.213;21.213;52.338;21.213
21.213;21.213;53.7639;21.213
21.213;21.213;53.9497;21.213
21.213;21.213;54.7596;21.213
21.213;21.213;54.8177;21.213
21.213;21.213;54.8177;21.213
21.213;21.213;54.9828;21.213
21.213;21.213;55.8257;21.213
21.213;21.213;57.0054;21.213
21.213;21.213;59.12;21.213
21.213;21.213;59.2744;21.213
21.213;21.213;59.4968;21.213
21.213;21.213;61.3879;21.213
21.213;21.213;61.4746;21.213
21.213;21.213;62.1971;21.213
21.213;21.213;62.3869;21.213
21.213;21.213;64.2544;21.213
21.213;21.213;64.4132;21.213
21.213;21.213;64.56;21.213
21.213;21.213;67.5653;21.213
21.213;21.213;67.7028;21.213
21.213;21.213;72.0591;21.213
21.213;21.213;72.4047;21.213
21.213;21.213;73.8103;21.213
21.213;21.213;75.0658;21.213
21.213;21.213;75.9028;21.213
21.213;21.213;76.1489;21.213
21.213;21.213;77.4062;21.213
21.213;21.213;77.6679;21.213
21.213;21.213;78.5279;21.213
21.213;21.213;80.4268;21.213
21.213;21.213;80.9205;21.213
21.213;21.7;81.8117;21.213
21.213;26.41;82.6218;21.213
21.213;31.1884;82.7845;21.213
21.213;31.1884;82.7845;21.213
21.213;31.1884;83.3111;21.213
21.213;31.1884;84.6265;21.213
21.213;31.1884;85.185;21.213
21.213;33.001;87.5926;21.213
21.213;33.001;89.5771;21.213
21.213;33.001;91.1016;21.213
21.213;33.001;92.471;21.213
21.213;33.001;93.6708;21.213
21.213;33.001;96.0754;21.213
21.213;33.001;99.1404;21.213
21.213;33.171;99.3134;21.213
21.213;33.1992;102.8702;21.213
21.213;33.1992;104.2128;21.213
21.213;33.1992;105.7486;21.213
21.213;33.1992;106.254;21.213
21.213;33.1992;106.9862;21.213
21.213;33.1992;110.4945;21.213
21.213;33.2307;110.9243;21.213
21.213;33.2307;118.8946;21.213
21.213;33.2307;123.2396;21.213
21.213;33.256;123.8979;21.213
21.213;33.256;127.9173;21.213
21.213;33.256;149.5162;21.213
21.213;33.256;157.4362;21.213
21.23;33.256;157.477;21.213
22.23;33.256;165.0418;21.213
23.12;33.2768;165.1033;21.213
23.38;33.7612;171.0388;21.213
23.48;33.7612;176.1864;21.213
25.58;33.851;204.742;21.213
27.82;33.851;253.1376;21.213
30.31;33.8514;305.0984;21.213
30.68;33.8514;367;21.213
33.023;33.8514;561.1419;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
33.8514;33.8514;;21.213
34.51;33.8514;;21.213
34.847;33.8514;;21.213
34.847;33.8514;;21.213
35.11;33.8514;;21.213
35.427;33.8514;;21.213
35.7641;33.8514;;21.213
35.7641;33.8514;;21.213
35.7641;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.8514;;21.213
35.8426;33.92;;21.213
